occupation,count,corrected_occupation
Domestic Servt,648,Domestic Servant
Farmer Sister,647,Farmer Sister
Engineer,640,Engineer
Sawyer,637,Sawyer
Van Man,635,Van Man
Millworker,634,Mill Worker
Carrier,631,Carrier
Wool Spinner,628,Wool Spinner
Coach Painter,626,Coach Painter
Reeler,626,Reeler
Road Contractor,623,Road Contractor
Retired Grocer,622,Retired Grocer
Brewery Labourer,621,Brewery Labourer
House Servant,620,House Servant
Builder,619,Builder
Religious,615,Religious
General Laborer,614,General Labourer
Washer Woman,608,Washer Woman
Railway Servant,603,Railway Servant
Telegraphist,595,Telegraphist
Groom Domestic Servant,593,Groom Domestic Servant
Slater,592,Slater
Gen Labourer,589,General Labourer
Fitter,589,Fitter
Fowl Dealer,585,Fowl Dealer
Linen Lapper,585,Linen Lapper
Music Teacher,582,Music Teacher
Game Keeper,573,Game Keeper
Boarder,570,Boarder
Veiner,567,Veiner
Interest of Money,567,Interest of Money
Iron Turner,566,Iron Turner
Farm Servant Domestic,562,Farm Servant Domestic
Herdsman,560,Herdsman
Brick Layer,559,Bricklayer
Monitress,557,Monitress
Factory Girl,557,Factory Girl
Smith,555,Smith
Houskeeper,554,Housekeeper
Hair Dresser,552,Hairdresser
Publican and Farmer,548,Publican and Farmer
Insurance Agent,546,Insurance Agent
Boiler Maker,545,Boiler Maker
Dairyman,543,Dairyman
Coach Man,542,Coachman
Civil Engineer,541,Civil Engineer
Labourer in Iron Works,540,Labourer in Iron Works
Stonecutter,540,Stonecutter
Waiter,538,Waiter
Shipwright,534,Shipwright
Linen Spinner,534,Linen Spinner
Lace Worker,528,Lace Worker
Railway Guard,526,Railway Guard
Butler,525,Butler
Fisher Man,524,Fisherman
F Daughter,524,F Daughter
Parlour Maid Domestic Servant,524,Parlour Maid Domestic Servant
Nothing,523,Nothing
Grocer Assistant,522,Grocer Assistant
Dress-Maker,521,Dressmaker
Scholar's,519,Scholar's
Labourers Son,518,Labourer's Son
Seamster,518,Seamster
Clergyman,517,Clergyman
Grocers Porter,516,Grocers Porter
Telegraph Messenger,515,Telegraph Messenger
Boot and Shoemaker,514,Boot and Shoemaker
Annuity,511,Annuity
Farm Laborer,508,Farm Labourer
Traveller,504,Traveller
G Labourer,502,General Labourer
Farmer and Publican,502,Farmer and Publican
House Holder,500,House Holder
Annuitant,496,Annuitant
Shop Girl,493,Shop Girl
General House Work,490,General House Work
Tinsmith,487,Tinsmith
Householder,484,Householder
Agricl Labourer,482,Agricultural Labourer
Mechanic,480,Mechanic
Gentleman,475,Gentleman
Genl Servant Domestic,473,General Domestic Servant
Dairy Man,473,Dairy Man
Hairdresser,467,Hairdresser
Post Boy,466,Post Boy
Private,466,Private
Assistant Housekeeper,463,Assistant Housekeeper
Barman,460,Barman
Hous Keeper,457,Housekeeper
Steward,452,Steward
Parish Priest,452,Parish Priest
Bar Maid,450,Barmaid
Pork Butcher,449,Pork Butcher
Printer Compositor,445,Printer Compositor
Watchmaker,444,Watchmaker
Asylum Attendant,438,Asylum Attendant
Law Clerk,436,Law Clerk
House Keeper Domestic,435,House Keeper Domestic
Machine Boy,434,Machine Boy
No Trade,434,No Trade
Green Grocer,433,Green Grocer
General Servant - Domestic,432,General Domestic Servant
Labourer Genl,432,Labourer Genl
Scholer,430,Scholer
Horse Trainer,430,Horse Trainer
General Dealer,430,General Dealer
Assistant House Keeper,429,Assistant House Keeper
Farmers Mother,428,Farmer's Mother
Farmer and Fisherman,427,Farmer and Fisherman
Cottier,427,Cottier
Labourer (General),426,General Labourer
Bricklayers Labourer,426,Bricklayers Labourer
Yarn Reeler,424,Yarn Reeler
Parlour Maid,424,Parlour Maid
Barber,421,Barber
House keeper,421,Housekeeper
Tram Conductor,420,Tram Conductor
Sister of Charity,416,Sister of Charity
Schollars,415,Scholar
Hotel Keeper,415,Hotel Keeper
Labourer's Daughter,411,Labourer's Daughter
Agril Labourer,410,Agril Labourer
Pensioner,403,Pensioner
Upholsterer,403,Upholsterer
Naval Pensioner,402,Naval Pensioner
Lodger,399,Lodger
HouseKeeper,399,Housekeeper
Railway Signalman,397,Railway Signalman
Agricultural Labr,393,Agricultural Labourer
Photographer,392,Photographer
Sprigger,392,Sprigger
Gamekeeper,392,Gamekeeper
Basket Maker,391,Basket Maker
Schooler,391,Schooler
Provision Merchant,391,Provision Merchant
Farmer Brother,390,Farmer Brother
Schoolboy,390,Schoolboy
Agriculture Labourer,389,Agricultural Labourer
Provision Dealer,388,Provision Dealer
Agl. Labourer,388,Agricultural Labourer
Farmer and Carpenter,388,Farmer and Carpenter
Horse Dealer,386,Horse Dealer
Servant General,385,Servant General
Flesher,385,Flesher
Railway Engine Driver,384,Railway Engine Driver
"General Servant, Domestic",384,General Domestic Servant
Spinner in Mill,381,Spinner in Mill
F Son,380,F Son
Creamery Manager,380,Creamery Manager
Linen Finisher,380,Linen Finisher
Garden Labourer,379,Garden Labourer
No Scholar,378,No Scholar
Bleacher,376,Bleacher
Commission Agent,376,Commission Agent
Coal Porter,376,Coal Porter
General Merchant,374,General Merchant
Mariner,373,Mariner
?,373,?
Baby,373,Baby
Draper Assistant,373,Draper Assistant
Book Binder,372,Book Binder
Care Taker,371,Caretaker
Ploughman,370,Ploughman
Fancy Box Maker,369,Fancy Box Maker
Farmer's,368,Farmer's
Typist,368,Typist
Stationer,366,Stationer
Farmer's Servant,366,Farmer's Servant
Wine Porter,365,Wine Porter
Bank Official,365,Bank Official
Journalist,365,Journalist
Flax Rougher,365,Flax Rougher
Land Owner,364,Land Owner
Grocer and Publican,364,Grocer and Publican
Kitchen Maid,361,Kitchen Maid
Laundry Worker,361,Laundry Worker
Land Agent,360,Land Agent
Domestic Work,358,Domestic Work
Farmer and Shopkeeper,357,Farmer and Shopkeeper
Nurse Domestic,354,Nurse Domestic
Corporation Labourer,352,Corporation Labourer
Flax Spreader,349,Flax Spreader
Flax Scutcher,349,Flax Scutcher
Master Mariner,348,Master Mariner
Knitting,348,Knitting
Housework,348,Housework
N.S. Teacher,346,National School Teacher
Labourer's Son,344,Labourer's Son
Taylor,344,Taylor
Vest Maker,342,Vest Maker
Postmistress,341,Postmistress
Landress,341,Landress
Yarn Spinner,339,Yarn Spinner
Cattle Drover,339,Cattle Drover
Agrl. Labourer,336,Agricultural Labourer
Working on Farm,336,Working on Farm
Labourer Agrl,336,Labourer Agrl
Not Employed,335,Not Employed
Bread Server,334,Bread Server
Farmer and Grocer,333,Farmer and Grocer
Waitress,333,Waitress
Farm Assistant,333,Farm Assistant
Labour General,332,Labour General
Inmate,332,Inmate
Boarding House Keeper,331,Boarding House Keeper
Cook Domestic Servt,330,Cook Domestic Servt
Farmers Widow,327,Farmer's Widow
House Property,327,House Property
Wash Woman,324,Wash Woman
Constable R.I.C,324,Constable R.I.C
Carpenter Master,323,Carpenter Master
Quarry Labourer,323,Quarry Labourer
General Servant Dom,320,General Servant Dom
Farmer and Shop Keeper,320,Farmer and Shop Keeper
Carpenter and Farmer,320,Carpenter and Farmer
Schoolars,320,Schoolars
Vintner,319,Vintner
Shop-Keeper,319,Shopkeeper
House Keeper Domestic Servant,319,House Keeper Domestic Servant
Shirt Factory Worker,318,Shirt Factory Worker
Vanman,318,Vanman
Religions,316,Religions
Married Woman,316,Married Woman
Spinner Flax,316,Spinner Flax
Pig Buyer,315,Pig Buyer
Fruit Dealer,314,Fruit Dealer
Tea Agent,311,Tea Agent
Bank Manager,311,Bank Manager
Laundry Maid,310,Laundry Maid
Saleswoman,309,Saleswoman
Hawker,308,Hawker
Station Master,308,Stationmaster
Servant (Domestic),307,Domestic Servant
Hem Stitcher,306,Hem Stitcher
Doffer,306,Doffer
Gardener Domestic Servant,306,Gardner Domestic Servant
Gardiner,306,Gardiner
Police Pensioner,304,Police Pensioner
Gentlewoman,302,Gentlewoman
Labourers,296,Labourer
Labourer Quay,296,Labourer Quay
Labourer (Farm),296,Farm Labourer
Labourer Agl,295,Labourer Agl
Small Farmer,295,Small Farmer
Nun,294,Nun
Shirt Cutter,294,Shirt Cutter
Housekeeper Domestic,293,Housekeeper Domestic
Drapers Apprentice,293,Drapers Apprentice
Folder,292,Folder
Carpenter Unemployed,292,Carpenter Unemployed
Shopman,291,Shopman
Winder in Factory,291,Winder in Factory
Weaver (Linen),290,Weaver Linen
Ag Labourer,290,Agricultural Labourer
Retired Servant,289,Retired Servant
Ironmonger,288,Ironmonger
Beggar,288,Beggar
Shirtmaker,287,Shirtmaker
Collier,286,Collier
Ship Yard Labourer,285,Ship Yard Labourer
Chemist,284,Chemist
Coast Guard,283,Coast Guard
Railway Ganger,283,Railway Ganger
Box Maker,282,Box Maker
Room Keeper,281,Room Keeper
Pig Dealer,281,Pig Dealer
Mill Labourer,280,Mill Labourer
Labourer-General,279,General Labourer
Publican and Grocer,279,Publican and Grocer
Coal Merchant,278,Coal Merchant
Merchant Tailor,278,Merchant Tailor
Housemaid-Domestic Servant,275,Housemaid Domestic Servant
Midwife,274,Midwife
Brass Finisher,274,Brass Finisher
Shoe-Maker,273,Shoemaker
Farmer's Mother,273,Farmer's Mother
Housemaid Domestic,273,Housemaid Domestic
Agr. Labourer,272,Agricultural Labourer
Linen Merchant,271,Linen Merchant
Employed at Home,271,Employed at Home
Butler Domestic Servant,270,Butler Domestic Servant
Labourer Gen,270,Labourer Gen
Draperess,269,Draperess
A Labourer,269,Agricultural Labourer
Farrier,268,Farrier
Grocers Apprentice,268,Grocers Apprentice
Hemsticher,268,Hemsticher
A Scholar,268,A Scholar
Stoker,265,Stoker
Coachman-Domestic Servant,265,Coachman Domestic Servant
Hotel Proprietor,265,Hotel Proprietor
Flax Reeler,264,Flax Reeler
Moulder,264,Moulder
Household Duties,264,Household Duties
Not Attending School,263,Not Attending School
D Servant,262,Domestic Servant
Letter Carrier,260,Letter Carrier
House - Keeper,260,Housekeeper
Pensioner R.I.C,260,Pensioner R.I.C
Farmers Nephew,260,Farmer's Nephew
Poulterer,259,Poulterer
Warehouseman,259,Warehouseman
Farmers son,258,Farmers son
Farmer's Widow,258,Farmer's Widow
Atending School,258,Atending School
Embroider,258,Embroider
Book-Keeper,257,Bookkeeper
Linen Bleacher,257,Linen Bleacher
Private Means,257,Private Means
General Domestic,257,General Domestic
Assistant Farmer,257,Assistant Farmer
Assistant in Shop,256,Assistant in Shop
Apprentice Carpenter,255,Apprentice Carpenter
Farmer Retired,254,Farmer Retired
Agricul Labourer,254,Agricultural Labourer
Widow,253,Widow
Office Boy,252,Office Boy
Car Man,252,Car Man
Tobacconist,252,Tobacconist
Ship Carpenter,252,Ship Carpenter
Brush Maker,251,Brush Maker
Wood Turner,251,Wood Turner
R.I.C. Pensioner,251,R.I.C. Pensioner
Jeweller,251,Jeweller
Master Tailor,250,Master Tailor
Shop Keeper and Farmer,249,Shop Keeper and Farmer
Reeler in Mill,249,Reeler in Mill
R.I.C Pensioner,248,R.I.C Pensioner
General-Domestic Servant,248,General Domestic Servant
Kitchen Maid Domestic Servant,248,Kitchen Maid Domestic Servant
Rivetter,247,Rivetter
Pauper,247,Pauper
House Maid Domestic,246,House Maid Domestic
Constable R I C,246,Constable R I C
Farmer and Blacksmith,246,Farmer and Blacksmith
Linen Yarn Winder,244,Linen Yarn Winder
Salesman,244,Salesman
Post Office Assistant,243,Post Office Assistant
Retired Farmers Wife,243,Retired Farmers Wife
Land Holder,242,Land Holder
Housekeeper Domestic Servant,242,Housekeeper Domestic Servant
Electrician,241,Electrician
Labourer Wife,241,Labourer Wife
Packer,241,Packer
Carpenter and Joiner,240,Carpenter and Joiner
Bookkeeper,240,Bookkeeper
Lacemaker,239,Lacemaker
Annuities,239,Annuities
Spirit Grocer,238,Spirit Grocer
Stable Boy,238,Stable Boy
Engine Cleaner,237,Engine Cleaner
Sister,237,Sister
Telegraph Clerk,236,Telegraph Clerk
Scoller,233,Scholar
Dressmaking,233,Dressmaker
Soldiers Wife,232,Soldier's Wife
Household Work,232,Household Work
Ship Wright,232,Shipwright
Farmers Niece,230,Farmer's Niece
N. Teacher,229,N. Teacher
Retired Teacher,229,Retired Teacher
Mistress,229,Mistress
Railway Milesman,225,Railway Milesman
Unknown,225,Unknown
Factory,223,Factory
Domestic Servant Unemployed,223,Domestic Servant Unemployed
Sticher,223,Sticher
Farm-Servant,222,Farm Servant
Boilermaker,222,Boilermaker
Scolars,220,Scolars
Genl Servt Domestic,220,Genl Servt Domestic
Machenist,220,Machenist
Dairymaid,220,Dairymaid
Clerk in Holy Orders,219,Clerk in Holy Orders
Hotel Porter,219,Hotel Porter
G Servant,219,G Servant
Civil Bill Officer,218,Civil Bill Officer
Gl Labourer,218,General Labourer
Laborour,217,Labourer
Labourer Dock,217,Dock Labourer
Boat Man,217,Boat Man
Watch Maker,216,Watchmaker
Mechanical Engineer,216,Mechanical Engineer
Drapery Assistant,215,Drapery Assistant
Presentation Nun,214,Presentation Nun
Gas Labourer,213,Gas Labourer
Tenant Farmer,213,Tenant Farmer
Bread Van Driver,213,Bread Van Driver
Solicitors General Clerk,213,Solicitors General Clerk
Labouer,212,Labourer
Tobacco Spinner,212,Tobacco Spinner
Shipyard Labourer,211,Shipyard Labourer
Monitor,211,Monitor
Catholic Curate,211,Catholic Curate
General Labourer Unemployed,211,General Labourer Unemployed
General Domestic Servt,210,General Domestic Servt
Store Keeper,210,Store Keeper
Char-Woman,210,Char Woman
Railway Fireman,210,Railway Fireman
Clark,209,Clark
F Labourer,209,F Labourer
Factory Labourer,208,Factory Labourer
Shopkeeper and Farmer,208,Shopkeeper and Farmer
Shop Boy,207,Shop Boy
Pawnbroker,207,Pawnbroker
Coachman Domestic,207,Coachman Domestic
N. S. Teacher,206,N. S. Teacher
Agric Labourer,206,Agricultural Labourer
Private Income,205,Private Income
Retired Domestic Servant,205,Retired Domestic Servant
Domestic Servant (General),205,General Domestic Servant
Retired Draper,205,Retired Draper
Cashier,205,Cashier
Prostitute,205,Prostitute
Coach Smith,204,Coach Smith
Auctioneer,204,Auctioneer
Dairy Keeper,203,Dairy Keeper
Laberour,203,Labourer
Hackney Car Driver,202,Hackney Car Driver
Solicitors Clerk,202,Solicitors Clerk
Tram Driver,201,Tram Driver
House Worker,201,House Worker
Domestic Servant Housemaid,201,Domestic Servant Housemaid
Shop Messenger,200,Shop Messenger
R I C Pensioner,200,R I C Pensioner
Artist,200,Artist
House Keeper at Home,199,House Keeper at Home
Miner,199,Miner
Roomkeeper,199,Roomkeeper
Nailor,198,Nailor
Cambrick Weaver,197,Cambrick Weaver
Navvy,197,Navvy
Vice Folder,196,Vice Folder
Gate Keeper,196,Gatekeeper
Paper Bag Maker,195,Paper Bag Maker
Assurance Agent,195,Assurance Agent
Post Mistress,195,Postmistress
Trained Nurse,192,Trained Nurse
Farmer's Niece,192,Farmer's Niece
N S Teacher,191,National School Teacher
Gas Fitter,191,Gas Fitter
Sales Woman,191,Sales Woman
Agent,190,Agent
Smiths Helper,190,Smiths Helper
Stocking Knitter,190,Stocking Knitter
Post Office Clerk,190,Post Office Clerk
Doffer in Mill,190,Doffer in Mill
Labourer on Farm,190,Labourer on Farm
Cannot read,189,Cannot read
Electrical Engineer,189,Electrical Engineer
"Cook, Domestic Servant",188,"Cook, Domestic Servant"
Labourer Unemployed,188,Labourer Unemployed
Shop-Assistant,187,Shop Assistant
Bookbinder,187,Bookbinder
Servant Boy,187,Servant Boy
Licensed Publican,186,Licensed Publican
Seamstres,184,Seamstress
Wine Merchant,184,Wine Merchant
Farm Servent,184,Farm Servent
Slater and Plasterer,184,Slater and Plasterer
Not Going to School,184,Not Going to School
Pilot,184,Pilot
Sexton,184,Sexton
Labourer in Ship Yard,183,Labourer in Ship Yard
Home,183,Home
Agricult Labourer,182,Agricultural Labourer
Pensioner R I C,182,Pensioner R I C
News Agent,182,Newsagent
Works on Farm,182,Works on Farm
Car Proprietor,182,Car Proprietor
Domestic Servant Coachman,181,Domestic Servant Coachman
Farm Servants,181,Farm Servants
N Teacher,181,N Teacher
Shepherds Daughter,180,Shepherd's Daughter
Mercantile Clerk,180,Mercantile Clerk
Marine Engineer,180,Marine Engineer
Shipping Clerk,180,Shipping Clerk
Shop Man,180,Shop Man
Linen Reeler,180,Linen Reeler
Carpenter Apprentice,179,Carpenter Apprentice
Lady Clerk,179,Lady Clerk
Servant Farm,179,Servant Farm
Postmaster,179,Postmaster
Horse Shoer,178,Horse Shoer
Scohlar,178,Scholar
Farm Work,177,Farm Work
Assistant Grocer,177,Assistant Grocer
Methodist Minister,177,Methodist Minister
Pupil Teacher,177,Pupil Teacher
Labourer in Brewery,177,Labourer in Brewery
Egg Dealer,176,Egg Dealer
Genl Servant,176,Genl Servant
Reeler in Spinning Mill,175,Reeler in Spinning Mill
Farmers Daughter in Law,175,Farmers Daughter in Law
Egg Merchant,175,Egg Merchant
Gardener-Domestic Servant,175,Gardener Domestic Servant
Clothier,175,Clothier
Famer,174,Famer
A Farmer,174,A Farmer
Corn Merchant,174,Corn Merchant
Agricultural Lab,173,Agricultural Labourer
Messenger Boy,173,Messenger Boy
Domestic Duties,173,Domestic Duties
Cycle Mechanic,172,Cycle Mechanic
Flaxdresser,172,Flaxdresser
Farmer and Miller,172,Farmer and Miller
Driver,172,Driver
Architect,172,Architect
Teacher of Music,171,Teacher of Music
Millwright,171,Millwright
Cook - Domestic Servant,171,Cook Domestic Servant
Natl Teacher,171,National Teacher
Gen Servant Domestic,170,General Domestic Servant
Yarn Dresser,170,Yarn Dresser
Interest on Money,170,Interest on Money
Cholar,170,Cholar
Relieving Officer,170,Relieving Officer
Contractor,170,Contractor
General Clerk,169,General Clerk
Retired Merchant,169,Retired Merchant
Bank Porter,169,Bank Porter
Solicitors Managing Clerk,169,Solicitors Managing Clerk
Hardware Assistant,168,Hardware Assistant
F Servant,168,F Servant
Manager,168,Manager
Quarry Man,168,Quarry Man
Schoolmaster,167,Schoolmaster
School Mistress,167,Schoolmistress
Tramp,166,Tramp
Assistant Draper,166,Assistant Draper
Shepherds Son,165,Shepherd's Son
Tea Merchant,165,Tea Merchant
General Labouer,165,General Labouer
Matron,165,Matron
Driller,164,Driller
Parlourmaid Domestic Servant,164,Parlourmaid Domestic Servant
Hardware Merchant,164,Hardware Merchant
Mother,164,Mother
Foundry Labourer,164,Foundry Labourer
Farmes Son,163,Farmes Son
Cook-Domestic,163,Cook Domestic
Farmers Daught,163,Farmers Daught
F Wife,163,F Wife
Grocer and Farmer,163,Grocer and Farmer
Stable Man,162,Stable Man
Domestic Servant Nurse,162,Domestic Servant Nurse
Woolen Weaver,162,Woolen Weaver
Professor,162,Professor
Cork Cutter,162,Cork Cutter
Market Gardener,162,Market Gardener
Builder's Labourer,162,Builder's Labourer
Gardener Domestic,162,Gardener Domestic
Civil Servant,161,Civil Servant
Farmers Grand Son,161,Farmers Grand Son
Masons Labourer,161,Masons Labourer
Herds Daughter,161,Herd's Daughter
House Duties,160,House Duties
Samestress,160,Samestress
Farmer and Mason,160,Farmer and Mason
Agricultural Farm Labourer,160,Agricultural Farm Labourer
Heard,160,Heard
Schoolgirl,159,Schoolgirl
