occupation,corrected_occupation
Servant-Domestic,Domestic Servant
Shop Porter,Shop Porter
Farm Labour,Farm Labourer
Fireman,Fireman
Mendicant,Mendicant
No,No
Domestic General Servant,General Domestic Servant
Engine Fitter at Works,Engine Fitter at Works
French Polisher,French Polisher
Domestic Servt,Domestic Servant
Farmer Sister,Farmer Sister
Engineer,Engineer
Sawyer,Sawyer
Van Man,Van Man
Millworker,Mill Worker
Carrier,Carrier
Wool Spinner,Wool Spinner
Coach Painter,Coach Painter
Reeler,Reeler
Road Contractor,Road Contractor
Retired Grocer,Retired Grocer
Brewery Labourer,Brewery Labourer
House Servant,House Servant
Builder,Builder
Religious,Religious
General Laborer,General Labourer
Washer Woman,Washer Woman
Railway Servant,Railway Servant
Telegraphist,Telegraphist
Groom Domestic Servant,Groom Domestic Servant
Slater,Slater
Gen Labourer,General Labourer
Fitter,Fitter
Fowl Dealer,Fowl Dealer
Linen Lapper,Linen Lapper
Music Teacher,Music Teacher
Game Keeper,Gamekeeper
Boarder,Boarder
Veiner,Veiner
Interest of Money,Interest of Money
Iron Turner,Iron Turner
Farm Servant Domestic,Farm Servant Domestic
Herdsman,Herdsman
Brick Layer,Bricklayer
Monitress,Monitress
Factory Girl,Factory Girl
Smith,Smith
Houskeeper,Housekeeper
Hair Dresser,Hairdresser
Publican and Farmer,Publican and Farmer
Insurance Agent,Insurance Agent
Boiler Maker,Boiler Maker
Dairyman,Dairyman
Coach Man,Coachman
Civil Engineer,Civil Engineer
Labourer in Iron Works,Labourer in Iron Works
Stonecutter,Stonecutter
Waiter,Waiter
Shipwright,Shipwright
Linen Spinner,Linen Spinner
Lace Worker,Lace Worker
Railway Guard,Railway Guard
Butler,Butler
Fisher Man,Fisherman
F Daughter,F Daughter
Parlour Maid Domestic Servant,Parlour Maid Domestic Servant
Nothing,Nothing
Grocer Assistant,Grocer Assistant
Dress-Maker,Dressmaker
Scholar's,Scholar's
Labourers Son,Labourer's Son
Seamster,Seamster
Clergyman,Clergyman
Grocers Porter,Grocer's Porter
Telegraph Messenger,Telegraph Messenger
Boot and Shoemaker,Boot and Shoemaker
Annuity,Annuity
Farm Laborer,Farm Labourer
Traveller,Traveller
G Labourer,General Labourer
Farmer and Publican,Farmer and Publican
House Holder,House Holder
Annuitant,Annuitant
Shop Girl,Shop Girl
General House Work,General House Work
Tinsmith,Tinsmith
Householder,Householder
Agricl Labourer,Agricultural Labourer
Mechanic,Mechanic
Gentleman,Gentleman
Genl Servant Domestic,General Domestic Servant
Dairy Man,Dairy Man
Hairdresser,Hairdresser
Post Boy,Post Boy
Private,Private
Assistant Housekeeper,Assistant Housekeeper
Barman,Barman
Hous Keeper,Housekeeper
Steward,Steward
Parish Priest,Parish Priest
Bar Maid,Barmaid
Pork Butcher,Pork Butcher
Printer Compositor,Printer Compositor
Watchmaker,Watchmaker
Asylum Attendant,Asylum Attendant
Law Clerk,Law Clerk
House Keeper Domestic,House Keeper Domestic
Machine Boy,Machine Boy
No Trade,No Trade
Green Grocer,Green Grocer
General Servant - Domestic,General Domestic Servant
Labourer Genl,Labourer Genl
Scholer,Scholer
Horse Trainer,Horse Trainer
General Dealer,General Dealer
Assistant House Keeper,Assistant House Keeper
Farmers Mother,Farmer's Mother
Farmer and Fisherman,Farmer and Fisherman
Cottier,Cottier
Labourer (General),General Labourer
Bricklayers Labourer,Bricklayers Labourer
Yarn Reeler,Yarn Reeler
Parlour Maid,Parlour Maid
Barber,Barber
House keeper,Housekeeper
Tram Conductor,Tram Conductor
Sister of Charity,Sister of Charity
Schollars,Scholar
Hotel Keeper,Hotel Keeper
Labourer's Daughter,Labourer's Daughter
Agril Labourer,Agril Labourer
Pensioner,Pensioner
Upholsterer,Upholsterer
Naval Pensioner,Naval Pensioner
Lodger,Lodger
HouseKeeper,Housekeeper
Railway Signalman,Railway Signalman
Agricultural Labr,Agricultural Labourer
Photographer,Photographer
Sprigger,Sprigger
Gamekeeper,Gamekeeper
Basket Maker,Basket Maker
Schooler,Schooler
Provision Merchant,Provision Merchant
Farmer Brother,Farmer Brother
Schoolboy,Schoolboy
Agriculture Labourer,Agricultural Labourer
Provision Dealer,Provision Dealer
Agl. Labourer,Agricultural Labourer
Farmer and Carpenter,Farmer and Carpenter
Horse Dealer,Horse Dealer
Servant General,Servant General
Flesher,Flesher
Railway Engine Driver,Railway Engine Driver
"General Servant, Domestic",General Domestic Servant
Spinner in Mill,Spinner in Mill
F Son,F Son
Creamery Manager,Creamery Manager
Linen Finisher,Linen Finisher
Garden Labourer,Garden Labourer
No Scholar,No Scholar
Bleacher,Bleacher
Commission Agent,Commission Agent
Coal Porter,Coal Porter
General Merchant,General Merchant
Mariner,Mariner
?,?
Baby,Baby
Draper Assistant,Draper Assistant
Book Binder,Book Binder
Care Taker,Caretaker
Ploughman,Ploughman
Fancy Box Maker,Fancy Box Maker
Farmer's,Farmer's
Typist,Typist
Stationer,Stationer
Farmer's Servant,Farmer's Servant
Wine Porter,Wine Porter
Bank Official,Bank Official
Journalist,Journalist
Flax Rougher,Flax Rougher
Land Owner,Land Owner
Grocer and Publican,Grocer and Publican
Kitchen Maid,Kitchen Maid
Laundry Worker,Laundry Worker
Land Agent,Land Agent
Domestic Work,Domestic Work
Farmer and Shopkeeper,Farmer and Shopkeeper
Nurse Domestic,Nurse Domestic
Corporation Labourer,Corporation Labourer
Flax Spreader,Flax Spreader
Flax Scutcher,Flax Scutcher
Master Mariner,Master Mariner
Knitting,Knitting
Housework,Housework
N.S. Teacher,National School Teacher
Labourer's Son,Labourer's Son
Taylor,Taylor
Vest Maker,Vest Maker
Postmistress,Postmistress
Landress,Landress
Yarn Spinner,Yarn Spinner
Cattle Drover,Cattle Drover
Agrl. Labourer,Agricultural Labourer
Working on Farm,Working on Farm
Labourer Agrl,Labourer Agrl
Not Employed,Not Employed
Bread Server,Bread Server
Farmer and Grocer,Farmer and Grocer
Waitress,Waitress
Farm Assistant,Farm Assistant
Labour General,Labour General
Inmate,Inmate
Boarding House Keeper,Boarding House Keeper
Cook Domestic Servt,Cook Domestic Servant
Farmers Widow,Farmer's Widow
House Property,House Property
Wash Woman,Wash Woman
Constable R.I.C,Constable R.I.C
Carpenter Master,Carpenter Master
Quarry Labourer,Quarry Labourer
General Servant Dom,General Servant Dom
Farmer and Shop Keeper,Farmer and Shop Keeper
Carpenter and Farmer,Carpenter and Farmer
Schoolars,Schoolars
Vintner,Vintner
Shop-Keeper,Shopkeeper
House Keeper Domestic Servant,House Keeper Domestic Servant
Shirt Factory Worker,Shirt Factory Worker
Vanman,Vanman
Religions,Religions
Married Woman,Married Woman
Spinner Flax,Spinner Flax
Pig Buyer,Pig Buyer
Fruit Dealer,Fruit Dealer
Tea Agent,Tea Agent
Bank Manager,Bank Manager
Laundry Maid,Laundry Maid
Saleswoman,Saleswoman
Hawker,Hawker
Station Master,Stationmaster
Servant (Domestic),Domestic Servant
Hem Stitcher,Hem Stitcher
Doffer,Doffer
Gardner Domestic Servant,Gardener Domestic Servant
Gardiner,Gardener
Police Pensioner,Police Pensioner
Gentlewoman,Gentlewoman
Labourers,Labourer
Labourer Quay,Quay Labourer
Labourer (Farm),Farm Labourer
Labourer Agl,Agricultural Labourer
Small Farmer,Small Farmer
Nun,Nun
Shirt Cutter,Shirt Cutter
Housekeeper Domestic,Housekeeper Domestic
Drapers Apprentice,Draper's Apprentice
Folder,Folder
Carpenter Unemployed,Carpenter Unemployed
Shopman,Shopman
Winder in Factory,Winder in Factory
Weaver (Linen),Linen Weaver
Ag Labourer,Agricultural Labourer
Retired Servant,Retired Servant
Ironmonger,Ironmonger
Beggar,Beggar
Shirtmaker,Shirtmaker
Collier,Collier
Ship Yard Labourer,Ship Yard Labourer
Chemist,Chemist
Coast Guard,Coast Guard
Railway Ganger,Railway Ganger
Box Maker,Boxmaker
Room Keeper,Room Keeper
Pig Dealer,Pig Dealer
Mill Labourer,Mill Labourer
Labourer-General,General Labourer
Publican and Grocer,Publican and Grocer
Coal Merchant,Coal Merchant
Merchant Tailor,Merchant Tailor
Housemaid-Domestic Servant,Housemaid Domestic Servant
Midwife,Midwife
Brass Finisher,Brass Finisher
Shoe-Maker,Shoemaker
Farmer's Mother,Farmer's Mother
Housemaid Domestic,Housemaid Domestic
Agr. Labourer,Agricultural Labourer
Linen Merchant,Linen Merchant
Employed at Home,Employed at Home
Butler Domestic Servant,Butler Domestic Servant
Labourer Gen,General Labourer
Draperess,Draperess
A Labourer,A Labourer
Farrier,Farrier
Grocers Apprentice,Grocer's Apprentice
Hemsticher,Hemsticher
A Scholar,A Scholar
Stoker,Stoker
Coachman-Domestic Servant,Coachman Domestic Servant
Hotel Proprietor,Hotel Proprietor
Flax Reeler,Flax Reeler
Moulder,Moulder
Household Duties,Household Duties
Not Attending School,Not Attending School
D Servant,Domestic Servant
Letter Carrier,Letter Carrier
House - Keeper,Housekeeper
Pensioner R.I.C,Pensioner R.I.C
Farmers Nephew,Farmer's Nephew
Poulterer,Poulterer
Warehouseman,Warehouseman
Farmers son,Farmers son
Farmer's Widow,Farmer's Widow
Atending School,Attending School
Embroider,Embroider
Book-Keeper,Bookkeeper
Linen Bleacher,Linen Bleacher
Private Means,Private Means
General Domestic,General Domestic
Assistant Farmer,Assistant Farmer
Assistant in Shop,Assistant in Shop
Apprentice Carpenter,Apprentice Carpenter
Farmer Retired,Farmer Retired
Agricul Labourer,Agricultural Labourer
Widow,Widow
Office Boy,Office Boy
Car Man,Car Man
Tobacconist,Tobacconist
Ship Carpenter,Ship Carpenter
Brush Maker,Brushmaker
Wood Turner,Wood Turner
R.I.C. Pensioner,R.I.C. Pensioner
Jeweller,Jeweller
Master Tailor,Master Tailor
Shop Keeper and Farmer,Shopkeeper and Farmer
Reeler in Mill,Reeler in Mill
R.I.C Pensioner,R.I.C Pensioner
General-Domestic Servant,General Domestic Servant
Kitchen Maid Domestic Servant,Kitchen Maid Domestic Servant
Rivetter,Rivetter
Pauper,Pauper
House Maid Domestic,Housemaid Domestic
Constable R I C,Constable R I C
Farmer and Blacksmith,Farmer and Blacksmith
Linen Yarn Winder,Linen Yarn Winder
Salesman,Salesman
Post Office Assistant,Post Office Assistant
Retired Farmers Wife,Retired Farmers Wife
Land Holder,Land Holder
Housekeeper Domestic Servant,Housekeeper Domestic Servant
Electrician,Electrician
Labourer Wife,Labourer's Wife
Packer,Packer
Carpenter and Joiner,Carpenter and Joiner
Bookkeeper,Bookkeeper
Lacemaker,Lacemaker
Annuities,Annuities
Spirit Grocer,Spirit Grocer
Stable Boy,Stable Boy
Engine Cleaner,Engine Cleaner
Sister,Sister
Telegraph Clerk,Telegraph Clerk
Scoller,Scholar
Dressmaking,Dressmaker
Soldiers Wife,Soldier's Wife
Household Work,Household Work
Ship Wright,Shipwright
Farmers Niece,Farmer's Niece
N. Teacher,N. Teacher
Retired Teacher,Retired Teacher
Mistress,Mistress
Railway Milesman,Railway Milesman
Unknown,Unknown
Factory,Factory
Domestic Servant Unemployed,Domestic Servant Unemployed
Sticher,Sticher
Farm-Servant,Farm Servant
Boilermaker,Boilermaker
Scolars,Scolars
Genl Servt Domestic,General Domestic Servant
Machenist,Machenist
Dairymaid,Dairymaid
Clerk in Holy Orders,Clerk in Holy Orders
Hotel Porter,Hotel Porter
G Servant,G Servant
Civil Bill Officer,Civil Bill Officer
Gl Labourer,General Labourer
Laborour,Labourer
Labourer Dock,Dock Labourer
Boat Man,Boat Man
Watch Maker,Watchmaker
Mechanical Engineer,Mechanical Engineer
Drapery Assistant,Drapery Assistant
Presentation Nun,Presentation Nun
Gas Labourer,Gas Labourer
Tenant Farmer,Tenant Farmer
Bread Van Driver,Bread Van Driver
Solicitors General Clerk,Solicitors General Clerk
Labouer,Labourer
Tobacco Spinner,Tobacco Spinner
Shipyard Labourer,Shipyard Labourer
Monitor,Monitor
Catholic Curate,Catholic Curate
General Labourer Unemployed,General Labourer Unemployed
General Domestic Servt,General Domestic Servant
Store Keeper,Storekeeper
Char-Woman,Charwoman
Railway Fireman,Railway Fireman
Clark,Clark
F Labourer,F Labourer
Factory Labourer,Factory Labourer
Shopkeeper and Farmer,Shopkeeper and Farmer
Shop Boy,Shop Boy
Pawnbroker,Pawnbroker
Coachman Domestic,Coachman Domestic
N. S. Teacher,National School Teacher
Agric Labourer,Agricultural Labourer
Private Income,Private Income
Retired Domestic Servant,Retired Domestic Servant
Domestic Servant (General),General Domestic Servant
Retired Draper,Retired Draper
Cashier,Cashier
Prostitute,Prostitute
Coach Smith,Coach Smith
Auctioneer,Auctioneer
Dairy Keeper,Dairy Keeper
Laberour,Labourer
Hackney Car Driver,Hackney Car Driver
Solicitors Clerk,Solicitor's Clerk
Tram Driver,Tram Driver
House Worker,House Worker
Domestic Servant Housemaid,Domestic Servant Housemaid
Shop Messenger,Shop Messenger
R I C Pensioner,R I C Pensioner
Artist,Artist
House Keeper at Home,Housekeeper at Home
Miner,Miner
Roomkeeper,Roomkeeper
Nailor,Nailor
Cambrick Weaver,Cambrick Weaver
Navvy,Navvy
Vice Folder,Vice Folder
Gate Keeper,Gatekeeper
Paper Bag Maker,Paper Bag Maker
Assurance Agent,Assurance Agent
Post Mistress,Postmistress
Trained Nurse,Trained Nurse
Farmer's Niece,Farmer's Niece
N S Teacher,National School Teacher
Gas Fitter,Gas Fitter
Sales Woman,Sales Woman
Agent,Agent
Smiths Helper,Smiths Helper
Stocking Knitter,Stocking Knitter
Post Office Clerk,Post Office Clerk
Doffer in Mill,Doffer in Mill
Labourer on Farm,Labourer on Farm
Cannot read,Cannot read
Electrical Engineer,Electrical Engineer
"Cook, Domestic Servant","Cook, Domestic Servant"
Labourer Unemployed,Labourer Unemployed
Shop-Assistant,Shop Assistant
Bookbinder,Bookbinder
Servant Boy,Servant Boy
Licensed Publican,Licensed Publican
Seamstres,Seamstress
Wine Merchant,Wine Merchant
Farm Servent,Farm Servent
Slater and Plasterer,Slater and Plasterer
Not Going to School,Not Going to School
Pilot,Pilot
Sexton,Sexton
Labourer in Ship Yard,Labourer in Ship Yard
Home,Home
Agricult Labourer,Agricultural Labourer
Pensioner R I C,Pensioner R I C
News Agent,Newsagent
Works on Farm,Works on Farm
Car Proprietor,Car Proprietor
Domestic Servant Coachman,Domestic Servant Coachman
Farm Servants,Farm Servants
N Teacher,N Teacher
Shepherds Daughter,Shepherd's Daughter
Mercantile Clerk,Mercantile Clerk
Marine Engineer,Marine Engineer
Shipping Clerk,Shipping Clerk
Shop Man,Shop Man
Linen Reeler,Linen Reeler
Carpenter Apprentice,Carpenter Apprentice
Lady Clerk,Lady Clerk
Servant Farm,Servant Farm
Postmaster,Postmaster
Horse Shoer,Horse Shoer
Scohlar,Scholar
Farm Work,Farm Work
Assistant Grocer,Assistant Grocer
Methodist Minister,Methodist Minister
Pupil Teacher,Pupil Teacher
Labourer in Brewery,Labourer in Brewery
Egg Dealer,Egg Dealer
Genl Servant,General Servant
Reeler in Spinning Mill,Reeler in Spinning Mill
Farmers Daughter in Law,Farmer's Daughter in Law
Egg Merchant,Egg Merchant
Gardener-Domestic Servant,Gardener Domestic Servant
Clothier,Clothier
Famer,Famer
A Farmer,A Farmer
Corn Merchant,Corn Merchant
Agricultural Lab,Agricultural Labourer
Messenger Boy,Messenger Boy
Domestic Duties,Domestic Duties
Cycle Mechanic,Cycle Mechanic
Flaxdresser,Flaxdresser
Farmer and Miller,Farmer and Miller
Driver,Driver
Architect,Architect
Teacher of Music,Teacher of Music
Millwright,Millwright
Cook - Domestic Servant,Cook Domestic Servant
Natl Teacher,National Teacher
Gen Servant Domestic,General Domestic Servant
Yarn Dresser,Yarn Dresser
Interest on Money,Interest on Money
Cholar,Cholar
Relieving Officer,Relieving Officer
Contractor,Contractor
General Clerk,General Clerk
Retired Merchant,Retired Merchant
Bank Porter,Bank Porter
Solicitors Managing Clerk,Solicitors Managing Clerk
Hardware Assistant,Hardware Assistant
F Servant,F Servant
Manager,Manager
Quarry Man,Quarry Man
Schoolmaster,Schoolmaster
School Mistress,Schoolmistress
Tramp,Tramp
Assistant Draper,Assistant Draper
Shepherds Son,Shepherd's Son
Tea Merchant,Tea Merchant
General Labouer,General Labouer
Matron,Matron
Driller,Driller
Parlourmaid Domestic Servant,Parlourmaid Domestic Servant
Hardware Merchant,Hardware Merchant
Mother,Mother
Foundry Labourer,Foundry Labourer
Farmes Son,Farmes Son
Cook-Domestic,Cook Domestic
Farmers Daught,Farmer's Daughter
F Wife,F Wife
Grocer and Farmer,Grocer and Farmer
Stable Man,Stable Man
Domestic Servant Nurse,Domestic Servant Nurse
Woolen Weaver,Woolen Weaver
Professor,Professor
Cork Cutter,Cork Cutter
Market Gardener,Market Gardener
Builder's Labourer,Builder's Labourer
Gardener Domestic,Gardener Domestic
Civil Servant,Civil Servant
Farmers Grand Son,Farmer's Grandson
Masons Labourer,Mason's Labourer
Herds Daughter,Herd's Daughter
House Duties,House Duties
Samestress,Samestress
Farmer and Mason,Farmer and Mason
Agricultural Farm Labourer,Agricultural Farm Labourer
Heard,Heard
Schoolgirl,Schoolgirl
Boot Closer,Boot Closer
Mothers Help,Mothers Help
Rural Post Man,Rural Post Man
Farmer's Nephew,Farmer's Nephew
Writing Clerk,Writing Clerk
Scholler,Scholar
Farm Servt,Farm Servant
Farm Domestic Servant,Farm Domestic Servant
Assistant Teacher,Assistant Teacher
Druggist,Druggist
Farmers Labourer,Farmer's Labourer
Scutcher,Scutcher
Semstress,Seamstress
Coach Maker,Coachmaker
Plater,Plater
Physician and Surgeon,Physician and Surgeon
Gentleman Farmer,Gentleman Farmer
Retired Publican,Retired Publican
Domestic Servant Gardener,Domestic Servant Gardener
Footman,Footman
Organist,Organist
Flax Doffer,Flax Doffer
Scholors,Scholar
Shephard,Shephard
Income from Dividends,Income from Dividends
Farmer's son,Farmer's son
Weaver Cambric,Weaver Cambric
Cotton Winder,Cotton Winder
Mantle Maker,Mantle Maker
General Servt-Domestic,General Domestic Servant
General Farm Servant,General Farm Servant
Clerk Commercial,Clerk Commercial
Infants,Infants
Railway Station Master,Railway Stationmaster
Agricultural Laboure,Agricultural Laboure
Student of Theology,Student of Theology
Clerk Unemployed,Clerk Unemployed
Black-Smith,Blacksmith
Agricultural Labourers,Agricultural Labourers
Bricklayer's Labourer,Bricklayer's Labourer
Pharmaceutical Chemist,Pharmaceutical Chemist
Lab,Lab
Professor of Music,Professor of Music
Labourer (Agricultural),Agricultural Labourer
Agricultral Labourer,Agricultural Labourer
Tailor and Farmer,Tailor and Farmer
Yard Man,Yard Man
Rate Collector,Rate Collector
Able Seaman,Able Seaman
Farmers Grand Daughter,Farmer's Granddaughter
Wife of Farmer,Wife of Farmer
Mill Hand,Mill Hand
Stone Dresser,Stone Dresser
Power Loom Tenter,Power Loom Tenter
Laundress Domestic Servant,Laundress Domestic Servant
Nat School Teacher,National School Teacher
Clothes Dealer,Clothes Dealer
Flax Preparer,Flax Preparer
H Keeper,H Keeper
Nill,Nill
Farm Son,Farm Son
Vagrant,Vagrant
Servant - Domestic,Domestic Servant
Platers Helper,Platers Helper
Labourer in Shipyard,Labourer in Shipyard
Woollen Weaver,Woollen Weaver
Teaching,Teaching
Yarn Bundler,Yarn Bundler
Apprentice Fitter,Apprentice Fitter
Builder and Contractor,Builder and Contractor
Surveyor,Surveyor
Linen Waver,Linen Waver
Laboror,Labourer
Tenter,Tenter
Weaver Damask,Weaver Damask
Income from House Property,Income from House Property
Grocer and Spirit Merchant,Grocer and Spirit Merchant
Distillery Labourer,Distillery Labourer
Dress Making,Dress Making
Roman Catholic Curate,Roman Catholic Curate
Printer - Compositor,Printer Compositor
Keeping House,Keeping House
Companion,Companion
Vegetable Dealer,Vegetable Dealer
Timber Merchant,Timber Merchant
Billiard Marker,Billiard Marker
Nat Teacher,National Teacher
Grocer's Porter,Grocer's Porter
Railway Platelayer,Railway Platelayer
Catholic Clergyman,Catholic Clergyman
Farmer and Labourer,Farmer and Labourer
Nurse Domestic Servt,Nurse Domestic Servant
Tailor Master,Master Tailor
Fruiterer,Fruiterer
Brushmaker,Brushmaker
Roman Catholic Clergyman,Roman Catholic Clergyman
Plate Layer,Plate Layer
Helper,Helper
Town Postman,Town Postman
Spinner Linen,Spinner Linen
Sewing,Sewing
Presbyterian Minister,Presbyterian Minister
Landed Proprietor,Landed Proprietor
Iron Ore Miner,Iron Ore Miner
Smother,Smother
Veterinary Surgeon,Veterinary Surgeon
Spreader,Spreader
Master Carpenter,Master Carpenter
Labourer Son,Labourer's Son
Living on Interest of Money,Living on Interest of Money
Natl School Teacher,National School Teacher
Rope Maker,Ropemaker
Herds Son,Herd's Son
Scollars,Scollars
Priest,Priest
Pawn Broker,Pawn Broker
Fire Man,Fire Man
Blacksmith and Farmer,Blacksmith and Farmer
