name,gender,EW_AppRank
ADETAYO,M,rare
ADETOKUNBO,M,uncommon
ADETOKUNBO,F,rare
ADETOLA,M,rare
ADETOLA,F,rare
ADETOMIWA,M,rare
ADETOUN,F,rare
ADETUNJI,M,rare
ADETUTU,F,rare
ADEWALE,M,uncommon
ADEWONUOLA,F,rare
ADEWUMI,M,rare
ADEWUNMI,F,rare
ADEYEMI,M,rare
ADEYINKA,M,rare
ADHAM,M,common
ADHAVAN,M,rare
ADHEEM,M,rare
ADHEEN,M,rare
ADHIRA,F,rare
ADHIRAJ,M,rare
ADHNAN,M,rare
ADHRIT,M,rare
ADHVAITH,M,rare
ADHVIK,M,rare
ADHYA,F,rare
ADI,M,common
ADI,F,common
ADIA,F,uncommon
ADIAN,M,rare
ADIB,M,common
ADIBA,F,common
ADIBAH,F,rare
ADIE,M,rare
ADIEL,M,rare
ADIEL,F,rare
ADIFAAH,F,rare
ADIL,M,common
ADILA,F,uncommon
ADILAH,F,rare
ADILSON,M,rare
ADIN,M,uncommon
ADINA,F,common
ADIRA,F,rare
ADISA,M,rare
ADISA,F,rare
ADISON,M,rare
ADIT,M,uncommon
ADITH,M,rare
ADITHI,F,rare
ADITHYA,M,uncommon
ADITI,F,common
ADITRI,F,rare
ADITYA,M,common
ADIVA,F,rare
ADIY,M,rare
ADIYA,F,rare
ADIYAAN,M,rare
ADIYAN,M,rare
ADJA,F,rare
ADJOA,F,uncommon
ADLANE,M,rare
ADLEY,M,uncommon
ADN,F,rare
ADNA,F,common
ADNAAN,M,common
ADNAN,M,common
ADOM,M,rare
ADOMAS,M,uncommon
ADON,M,uncommon
ADONA,F,rare
ADONAI,M,rare
ADONAI,F,rare
ADONAY,M,rare
ADONIA,F,rare
ADONIJAH,M,rare
ADONIS,M,common
ADORA,F,uncommon
ADREES,M,rare
ADRIA,F,rare
ADRIAAN,M,rare
ADRIAN,M,basic
ADRIAN,F,rare
ADRIANA,F,common
ADRIANAS,M,rare
ADRIANE,F,rare
ADRIANNA,F,common
ADRIANNE,F,uncommon
ADRIANO,M,common
ADRIANS,M,rare
ADRIATIK,M,rare
ADRIEL,M,uncommon
ADRIEL,F,rare
ADRIELLE,F,rare
ADRIEN,M,common
ADRIEN,F,rare
ADRIENNE,F,common
ADRIJA,F,rare
ADRIJANA,F,rare
ADRIJUS,M,rare
ADRIKA,F,rare
ADRIN,M,rare
ADRINA,F,rare
ADRIS,M,rare
ADRITA,F,rare
ADSHAYAN,M,rare
ADUNOLA,F,rare
ADVAIT,M,rare
ADVAITA,F,rare
ADVAITH,M,rare
ADVAY,M,rare
ADVIK,M,rare
ADVIKA,F,rare
ADVIT,M,rare
ADVITH,M,rare
ADWIN,M,rare
ADWOA,F,uncommon
ADY,M,rare
ADYA,F,rare
ADYAAN,M,rare
ADYAN,M,uncommon
AEDAN,M,common
AEDDAN,M,rare
AEDEN,M,rare
AEESHA,F,rare
AEISHA,F,rare
AELA,F,uncommon
AELFRED,M,rare
AELLA,F,rare
AEMAN,F,rare
AEMELIA,F,rare
AEMILIA,F,uncommon
AENEAS,M,rare
AENGUS,M,rare
AEON,M,rare
AERIN,F,common
AERIS,F,uncommon
AERITH,F,rare
AERON,M,common
AERON,F,rare
AERONA,F,rare
AERYN,F,common
AESHA,F,uncommon
AESON,M,rare
AEVA,F,rare
AEVAH,F,rare
AEYSHA,F,rare
AFAAF,F,rare
AFAAN,M,rare
AFAF,F,rare
AFAN,M,rare
AFAQ,M,rare
AFEEF,M,rare
AFEEFA,F,rare
AFEEFAH,F,common
AFET,F,rare
AFFAAN,M,rare
AFFAF,F,rare
AFFAN,M,uncommon
AFFIA,F,rare
AFIA,F,common
AFIFA,F,common
AFIFAH,F,common
AFIQ,M,rare
AFIRA,F,rare
AFIYA,F,common
AFIYAH,F,uncommon
AFIZAH,F,rare
AFJOL,M,rare
AFNAAN,M,rare
AFNAAN,F,rare
AFNAN,M,uncommon
AFNAN,F,common
AFOLABI,M,rare
AFOLARIN,M,rare
AFON,M,rare
AFONSO,M,uncommon
AFRA,F,common
AFRAA,F,rare
AFRAH,F,common
AFRAZ,M,rare
AFREEN,F,common
AFRICA,F,rare
AFRIDA,F,rare
AFRIKA,F,rare
AFRIN,F,uncommon
AFRINA,F,rare
AFRUZA,F,rare
AFSA,F,uncommon
AFSAH,F,rare
AFSANA,F,common
AFSAR,M,rare
AFSARA,F,rare
AFSEEN,F,rare
AFSHA,F,uncommon
AFSHAH,F,rare
AFSHAN,F,rare
AFSHANA,F,rare
AFSHEEN,F,uncommon
AFTAB,M,uncommon
AFTON,F,rare
AFUA,F,uncommon
AFZAAL,M,rare
AFZAL,M,common
AGAM,M,rare
AGAMDEEP,M,rare
AGAMJOT,M,rare
AGAMJOT,F,rare
AGAMPREET,M,rare
AGAMVEER,M,rare
AGAPE,F,rare
AGASTYA,M,uncommon
AGATA,F,uncommon
AGATHA,F,common
AGATHE,F,uncommon
AGGIE,F,rare
AGHA,M,rare
AGIM,M,rare
AGIT,M,rare
AGNE,F,rare
AGNES,F,basic
AGNESA,F,rare
AGNESE,F,rare
AGNIESZKA,F,uncommon
AGNIUS,M,rare
AGON,M,rare
AGOTA,F,rare
AGRON,M,rare
AGUSTIN,M,rare
AHAAN,M,rare
AHAANA,F,rare
AHAD,M,common
AHAMED,M,uncommon
AHAN,M,rare
AHANA,F,uncommon
AHARAN,M,rare
AHARON,M,common
AHCENE,M,rare
AHDIA,F,rare
AHEED,M,rare
AHIL,M,rare
AHLAAM,F,uncommon
AHLAAN,F,rare
AHLAM,F,common
AHLAN,F,rare
AHMAD,M,common
AHMADOU,M,rare
AHMAR,M,rare
AHMED,M,common
AHMER,M,rare
AHMET,M,common
AHNAF,M,uncommon
AHREN,M,uncommon
AHRON,M,uncommon
AHSAAN,M,rare
AHSAN,M,common
AHSANUL,M,rare
AHSEN,M,rare
AHTSHAM,M,rare
AHUVA,F,rare
AHYAAN,M,uncommon
AHYAN,M,uncommon
AI,F,rare
AIA,F,rare
AIBHLINN,F,rare
AICHA,F,common
AIDA,F,common
AIDAAN,M,rare
AIDAH,F,rare
AIDAN,M,common
AIDAN,F,rare
AIDAS,M,rare
AIDEEN,F,rare
AIDEL,F,rare
AIDEN,M,common
AIDEN,F,rare
AIDON,M,rare
AIDY,M,rare
AIDY,F,rare
AIDYN,M,rare
AIESHA,F,common
AIFE,F,rare
AIKA,F,rare
AIKAM,M,rare
AIKATERINI,F,rare
AIKEN,M,rare
AIKO,F,uncommon
AILA,F,common
AILAH,F,rare
AILAN,M,rare
AILANI,F,rare
AILBE,M,rare
AILBHE,F,uncommon
AILEEN,F,common
AILIDH,F,rare
AILIE,F,rare
AILIN,F,rare
AILIS,F,uncommon
AILISE,F,rare
AILISH,F,common
AILISHA,F,rare
AILLA,F,rare
AILSA,F,common
AIMA,F,common
AIMAH,F,rare
AIMAL,M,rare
AIMAL,F,rare
AIMAN,M,common
AIMAN,F,common
AIMAR,M,rare
AIME,F,uncommon
AIMEE,F,common
AIMEN,M,rare
AIMEN,F,common
AIMI,F,uncommon
AIMIE,F,common
AIMIEE,F,rare
AIMUN,F,rare
AIMY,F,rare
AIN,F,rare
AINA,F,common
AINARA,F,rare
AINE,F,common
AINHOA,F,rare
AINI,F,rare
AINSLEIGH,M,rare
AINSLEIGH,F,rare
AINSLEY,M,common
AINSLEY,F,uncommon
AINSLIE,M,rare
AINSLIE,F,rare
AIRA,F,uncommon
AIRAH,F,rare
AIREN,M,rare
AIRI,F,rare
AIRIDAS,M,rare
AIRLIE,F,rare
AIRON,M,rare
AIRONAS,M,uncommon
AISA,M,rare
AISA,F,rare
AISEA,M,rare
AISHA,F,common
AISHAH,F,common
AISHANI,F,uncommon
AISHAT,F,common
AISHATU,F,rare
AISHI,F,rare
AISHIA,F,rare
AISHLEEN,F,rare
AISHLING,F,rare
AISHPREET,F,rare
AISHWARYA,F,common
AISLA,F,uncommon
AISLEYNE,F,rare
AISLIN,F,uncommon
AISLING,F,common
AISLINN,F,common
AISOSA,M,rare
AISOSA,F,rare
AISSA,M,rare
AISSATA,F,rare
AISSATOU,F,uncommon
AISTE,F,rare
AISTIS,M,rare
AISWARYA,F,rare
AISYA,F,rare
AISYAH,F,rare
AITANA,F,rare
AITOR,M,rare
AIVA,F,uncommon
AIVAH,F,rare
AIVARAS,M,rare
AIYA,F,uncommon
AIYAN,M,rare
AIYANA,F,common
AIYANAH,F,rare
AIYANNA,F,rare
AIYAT,F,rare
AIYAZ,M,rare
AIYESHA,F,rare
AIYLA,F,uncommon
AIYLAH,F,rare
AIYSHA,F,common
AIYUSH,M,rare
AIYZA,F,rare
AIYZAH,F,rare
AIZA,F,common
AIZAH,F,uncommon
AIZZA,F,rare
AJ,M,uncommon
AJA,F,rare
AJAI,M,uncommon
AJAN,M,rare
AJANI,M,uncommon
AJANTHAN,M,rare
AJAX,M,rare
AJAY,M,common
AJAZ,M,rare
AJEET,M,uncommon
AJESH,M,rare
AJHAR,M,rare
AJI,F,uncommon
AJIBOLA,M,rare
AJIT,M,uncommon
AJLA,F,rare
AJMAL,M,uncommon
AJOONI,F,rare
AJUNI,F,rare
AJUS,M,rare
AJWA,F,uncommon
AJWAD,M,rare
AJWAH,F,rare
AKAAL,M,rare
AKAALDEEP,M,rare
AKAASH,M,common
AKACHUKWU,M,rare
AKAI,M,rare
AKAIN,M,rare
AKAL,M,rare
AKAM,M,rare
AKAN,M,rare
AKANE,F,rare
AKANKSHA,F,rare
AKAR,M,rare
AKARI,F,rare
AKARSH,M,rare
AKASH,M,common
AKASHA,F,uncommon
AKASHDEEP,M,rare
AKASYA,F,rare
AKAY,M,rare
AKAYLA,F,rare
AKAYSHA,F,rare
AKBAR,M,common
AKBER,M,rare
AKEAL,M,rare
AKEEB,M,rare
AKEEL,M,common
AKEELA,F,rare
AKEELAH,F,uncommon
AKEEM,M,common
AKEIN,M,rare
AKEIRA,F,rare
AKEISHA,F,rare
AKEMI,F,rare
AKHEEL,M,rare
AKHIL,M,common
AKHIRA,F,rare
AKHLAQ,M,rare
AKHSA,F,rare
AKHTAR,M,rare
AKI,M,rare
AKI,F,rare
AKIA,M,rare
AKIB,M,uncommon
AKIDA,F,rare
AKIEL,M,rare
AKIERA,F,rare
AKIESHA,F,rare
AKIF,M,common
AKIFA,F,rare
AKIFAH,F,uncommon
AKIKUR,M,rare
AKIL,M,common
AKILA,F,uncommon
AKILAH,F,uncommon
AKIM,M,uncommon
AKIN,M,uncommon
AKINA,F,rare
AKINLOLU,M,rare
AKINOLA,M,rare
AKINTAYO,M,rare
AKINTOMIWA,M,rare
AKINTUNDE,M,rare
AKINYEMI,M,rare
AKIO,M,rare
AKIRA,M,common
AKIRA,F,common
AKIRAH,F,rare
AKISHA,F,rare
AKITO,M,rare
AKIVA,M,common
AKLIMA,F,uncommon
AKMAL,M,uncommon
AKOREDE,M,rare
AKOS,M,rare
AKOSUA,F,common
AKRAM,M,common
AKRITI,F,rare
AKSA,F,common
AKSAA,F,rare
AKSAH,F,uncommon
AKSEL,M,uncommon
AKSH,M,rare
AKSHA,F,rare
AKSHAJ,M,rare
AKSHAN,M,rare
AKSHANA,F,rare
AKSHAR,M,uncommon
AKSHARA,F,uncommon
AKSHARAA,F,rare
AKSHARAN,M,rare
AKSHAT,M,uncommon
AKSHATA,F,rare
AKSHATH,M,rare
AKSHAY,M,common
AKSHAYA,F,common
AKSHAYAA,F,rare
AKSHAYAH,F,rare
AKSHAYAN,M,uncommon
AKSHAYE,M,rare
AKSHAYEN,M,rare
AKSHIT,M,rare
AKSHITA,F,uncommon
AKSHITH,M,rare
AKUA,F,common
AKVILE,F,rare
AKWASI,M,rare
AL,M,common
AL,F,rare
ALA,M,rare
ALA,F,uncommon
ALAA,M,rare
ALAA,F,common
ALABAMA,F,rare
ALAE,F,rare
ALAGIE,M,rare
ALAHNA,F,rare
ALAIA,F,uncommon
ALAIBA,F,rare
ALAIKA,F,rare
ALAIN,M,uncommon
ALAINA,F,common
ALAINE,F,rare
ALAIYA,F,rare
ALAIYAH,F,rare
ALAIYNA,F,rare
ALAIZA,F,rare
ALAM,M,rare
ALAMEEN,M,rare
ALAMIN,M,rare
ALAN,M,basic
ALANA,F,common
ALANAH,F,common
ALANAS,M,rare
ALAND,M,uncommon
ALANI,F,uncommon
ALANIA,F,rare
ALANIS,F,common
ALANNA,F,common
